DATETIME,F1,F2,F3,F4,F5,F6,F7,F8
7/31/2015 1:00,192.18,101.28,102.46,95.48,99.64,100.22,85.69914246,29.51085754
7/31/2015 2:00,191.169,101.566,102.835,95.635,99.822,100.401,86.46821594,28.76978406
7/31/2015 3:00,190.707,102.065,103.353,96.152,100.308,100.914,84.65418243,30.92898423
7/31/2015 4:00,190.595,102.386,103.67,96.399,100.509,101.19,85.46678162,30.32471838
7/31/2015 5:00,190.667,101.969,103.249,95.96,100.092,100.785,85.94974518,29.50392149
7/31/2015 6:00,189.748,102.384,103.637,96.465,100.609,101.185,84.13735962,31.53397371
7/31/2015 7:00,189.865,104.178,105.409,98.221,102.442,102.958,83.30763245,33.87120089
7/31/2015 8:00,190.382,104.305,105.594,98.216,102.476,103.043,87.43798065,29.89801935
7/31/2015 9:00,191.147,103.11,104.383,97.005,101.267,101.864,86.64837646,29.8142902
